pos_error,ang_error,N_eff
25.55051927917634,3.099953115350221,1.0
25.63479341846525,3.0893053598507842,1.0022073058205707
25.705904208803716,3.0889958949248477,1.733941037114279
2.0196670748662657,0.005358314218046945,1.0
1.983437492698287,0.009920768060666106,2.0704313667830947
2.0178993211330982,0.01089513041502832,1.0547934089266304
1.9825658187266761,0.019138356377933926,1.8790174633144339
1.9814466732890599,0.01496542818867097,1.7527150323147862
1.9430474188001103,0.0319209133881484,1.230789237426154
1.952565370447331,0.046157675066125226,4.532538875316256
1.9657214638416978,0.061156492572664645,1.0030159961069196
1.9478295516670583,0.05981844749314669,4.58084023945075
1.9565386038413863,0.04965964519650678,3.3434649242342305
1.9446881123098132,0.04135273715904897,3.549004340608321
1.9415216636055581,0.02940393660660856,3.2829401893020984
1.9261139743672435,0.023249304696583595,3.1643947265223784
1.9143520094403883,0.037497585353767786,1.132820660473204
1.8703711128991345,0.06311117708534564,1.457257900394724
1.885616702860657,0.06064764336380968,2.9681646500617833
17.712838748924412,1.5353501031783292,1.0
17.65966344265528,1.5614152169794255,2.766569600969016
17.706936889232374,1.5607366083989789,1.8282297347894299
17.719806208493747,1.569107365441152,4.275792179833463
17.775896329448088,1.575615212265409,1.4436552947378365
17.953614536312784,1.5850123646329863,1.0048655985556159
17.949659040017846,1.5767152270431808,2.7667332037054564
17.987948620961014,1.5744811635321814,2.3730417994500073
17.99963307961127,1.5703761044210056,2.4779044733362574
18.03153021170804,1.6033354100138293,1.0001454092208655
18.07224276711791,1.6052295704600439,1.2765912090806766
18.044346509556178,1.595650822470772,1.0004880658271154
18.067871136083465,1.5957395847139335,11.769789333954614
18.035495042879806,1.5872150050989646,8.506992266456887
18.02902573782512,1.5808461727525693,2.556461299364449
18.065445605006467,1.5795074452695563,1.233699614423705
18.05863882707277,1.570713260307961,1.0010140649675732
18.001822883274347,1.5664717016175587,3.413624410515785
17.948119162922183,1.591500966792069,1.0068826912137177
17.98795780070629,1.5917103740543048,1.0299461650806245
17.98495019936965,1.5901051381136222,2.776459858927579
17.974807666849085,1.5830636075988616,2.354004271698579
17.965874515377497,1.5754723502848889,7.361377584712089
17.994495238339177,1.5747799379587581,1.9291015599165782
18.01855691839459,1.5703510413255812,3.6541594978682777
17.994271710072592,1.5981681842730802,1.06217404399666
17.98072283190362,1.5970629648523067,1.3735407585776633
18.02458492030416,1.6045603509754478,1.5599301976982682
18.041419261917362,1.590822165748174,2.100569879905182
17.884477641545477,1.5841633967755917,2.509696004322039
17.66522293398151,1.5753526387286567,3.2320481707613093
17.431303099374155,1.5669245161007612,1.0370101444768436
17.291542754915696,1.5661930888303124,24.65651975942226
17.100781689424906,1.6077042903373744,1.0000000012226717
16.954802201032155,1.6065365291747424,1.3842905029870158
16.72755420014887,1.60233007762747,1.0000056287556414
16.488135790403344,1.5957687237080809,1.000000000062697
17.927610053735734,2.919057341514421,1.0
21.66058197082074,1.5164671021272367,1.0
21.53138942482402,1.5429241307439698,2.099287461026294
21.29454410157482,1.542198452572255,1.0005247538679318
21.171812408549087,1.555880290648435,1.0147238071217703
21.084497331560254,1.5554545261209205,2.91676361027093
20.958963643157922,1.5591846852782765,1.0118285059025778
6.50182332842265,0.05320095836673336,1.0
6.512733483361969,0.033930724485801034,1.0573935033846305
6.4667487936029415,0.02894019555229868,1.2503289652936167
6.511841528359441,0.023407531963299973,2.162395102487821
6.465636388454977,0.025086330005887288,1.1531324986813796
6.417765914407127,0.022683543035152378,1.2813953733004462
6.368202617645763,0.019611973255586126,2.2483561601103252
6.357512546287732,0.02389378124763303,2.7158155861669657
6.285635044928211,0.02171242913849178,1.7041649903712253
6.264019782915582,0.019132437545930928,4.216228201008434
6.22953295567757,0.02186303131604457,1.049432351991856
6.193070615389954,0.017892573731936524,3.843416830693189
6.166657525044148,0.017408903517766458,8.108036779762791
